project	method	n_deg_untrimmed	n_deg_trimmed	deg_jaccard	deg_gained	deg_lost	rho_log2fc	rho_top50_rank	n_path_untrimmed	n_path_trimmed	path_jaccard	rho_nes	dir_concordance
PRJNA1176539	A	1383	1602	0.7324434126523506	340	121	0.8467177191347659	0.5719567827130853	28	28	0.75	0.967827130852341	1.0
PRJNA1176539	P5	1383	1606	0.77705112960761	299	76	0.8556630877069125	0.6818247298919567	28	27	0.7741935483870968	0.9888595438175269	1.0
PRJNA1176539	P10	1383	1700	0.7447651386530844	384	67	0.8529460850340057	0.58031212484994	28	27	0.896551724137931	0.9913565426170469	1.0
PRJNA1176539	P20	1383	1823	0.6500257334019557	560	120	0.709055512589506	0.6108523409363745	28	25	0.7666666666666667	0.9786794717887155	1.0
PRJNA1176539	P35	1383	0	0.0	0	1383	0.059605004648042484	0.2556960214968879	28	50	0.56	-0.3204321728691476	0.15
PRJNA1185243	A	2964	2988	0.9800399201596807	42	18	0.9932818702515733	0.9951020408163265	41	41	1.0	0.9981752701080432	1.0
PRJNA1185243	P5	2964	2974	0.9932863376972139	15	5	0.9980302520708307	0.9973109243697478	41	43	0.9534883720930233	0.9984633853541416	1.0
PRJNA1185243	P10	2964	2975	0.9929530201342281	16	5	0.9980563599446375	0.9972148859543817	41	40	0.975609756097561	0.9990396158463385	1.0
PRJNA1185243	P20	2964	2584	0.6715878276589334	355	735	0.746458542523538	0.8149339735894358	41	47	0.8333333333333334	0.969939975990396	1.0
PRJNA1185243	P35	2964	1200	0.19655172413793104	516	2280	0.3783143058483281	0.44096038415366146	41	47	0.7959183673469388	0.922689075630252	1.0
PRJNA321028	A	7470	7471	0.9993309246621169	3	2	0.9999828033439573	0.9999999999999999	30	31	0.7941176470588235	0.9838655462184873	1.0
PRJNA321028	P5	7470	7472	0.9941278526624849	23	21	0.9996733434409183	0.9946218487394957	30	34	0.8823529411764706	0.9843457382953181	1.0
PRJNA321028	P10	7470	7480	0.9941309857276244	27	17	0.9996150583471306	0.9943337334933974	30	29	0.9666666666666667	0.9806002400960383	1.0
PRJNA321028	P20	7470	7633	0.8949811794228356	500	337	0.9821240676910244	0.904249699879952	30	37	0.8108108108108109	0.9850180072028811	1.0
PRJNA321028	P35	7470	0	0.0	0	7470			30	0	0.0		
PRJNA321087	A	1101	1106	0.9687778768956289	20	15	0.9977250410124393	0.8903241296518607	7	6	0.625	0.9949099639855942	1.0
PRJNA321087	P5	1101	1538	0.5945619335347432	554	117	0.9027041529070815	-0.20950780312124848	7	30	0.23333333333333334	0.8349099639855943	1.0
PRJNA321087	P10	1101	1595	0.5512082853855006	637	143	0.891708944330624	-0.03183673469387755	7	14	0.16666666666666666	0.8220408163265306	1.0
PRJNA321087	P20	1101	1901	0.40411599625818523	1037	237	0.827790410784559	-0.3944777911164466	7	43	0.13636363636363635	0.8188715486194478	0.85
PRJNA321087	P35	1101	0	0.0	0	1101			7	0	0.0		
PRJNA321967	A	25210	23985	0.7394455837635245	3072	4297	0.9323694519883471	0.5825210084033614	49	39	0.7959183673469388	0.5333947229837787	1.0
PRJNA321967	P5	25210	25248	0.9549029483553524	601	563	0.9922934874059773	0.8512364945978391	49	48	0.9795918367346939	0.9666746698679471	1.0
PRJNA321967	P10	25210	25316	0.9523183925811437	670	564	0.9916239983688835	0.8292436974789916	49	48	0.9795918367346939	0.9816566626650659	1.0
PRJNA321967	P20	25210	25319	0.9038809344385833	1330	1221	0.9780122458315452	0.7144777911164465	49	50	0.98	0.9772388955582233	1.0
PRJNA321967	P35	25210	0	0.0	0	25210			49	0	0.0		
PRJNA352875	A	2267	2304	0.9601200686106347	65	28	0.9937618831553457	0.9891476590636255	48	48	1.0	0.9951980792316926	1.0
PRJNA352875	P5	2267	2291	0.924831081081081	101	77	0.9701803357021412	0.9926050420168067	48	47	0.9791666666666666	0.9940456182472988	1.0
PRJNA352875	P10	2267	2293	0.9175777964676198	111	85	0.9692599355098149	0.9925090036014406	48	47	0.9791666666666666	0.9955822328931572	1.0
PRJNA352875	P20	2267	2215	0.8145748987854251	203	255	0.9210307398055553	0.9776230492196878	48	47	0.9791666666666666	0.9946218487394957	1.0
PRJNA352875	P35	2267	0	0.0	0	2267			48	0	0.0		
PRJNA373978	A	1466	1492	0.9499011206328279	51	25	0.9975725385924642	0.8247298919567827	6	5	0.8333333333333334	0.9682112845138054	1.0
PRJNA373978	P5	1466	1701	0.8180252583237658	276	41	0.9873398241881585	0.7110204081632653	6	5	0.5714285714285714	0.9621608643457382	1.0
PRJNA373978	P10	1466	1691	0.8227482678983834	266	41	0.9873673692338224	0.7110204081632653	6	5	0.5714285714285714	0.977719087635054	1.0
PRJNA373978	P20	1466	2428	0.5582232893157263	1033	71	0.9524105041114163	0.6221848739495797	6	10	0.6	0.9351740696278511	1.0
PRJNA373978	P35	1466	0	0.0	0	1466			6	0	0.0		
PRJNA381757	A	12881	12883	0.9998447566560583	2	0	0.9999782192581665	0.9862665066026409	44	44	1.0	0.9996158463385355	1.0
PRJNA381757	P5	12881	12882	0.9996119217634275	3	2	0.9999459021765887	0.9992316926770708	44	44	1.0	0.9991356542617047	1.0
PRJNA381757	P10	12881	12882	0.9996119217634275	3	2	0.9999335408617679	0.9991356542617047	44	44	1.0	0.999423769507803	1.0
PRJNA381757	P20	12881	12662	0.8551093035078801	888	1107	0.8910632318014755	0.4739015606242497	44	45	0.9777777777777777	0.9930852340936375	1.0
PRJNA381757	P35	12881	0	0.0	0	12881			44	0	0.0		
PRJNA384289	A	6531	6551	0.9872398602460885	52	32	0.9993717410477853	0.9996158463385355	40	39	0.975	0.9832893157262904	1.0
PRJNA384289	P5	6531	6548	0.9870859920996657	51	34	0.9993562008288498	0.9995198079231692	40	38	0.9024390243902439	0.9856902761104441	1.0
PRJNA384289	P10	6531	6671	0.9503619441571872	238	98	0.9977622945952639	0.962641056422569	40	38	0.95	0.9743577430972389	1.0
